user_id,name,email,join_date,transaction_id,amount,timestamp,transaction_type,package_id,courier,delivery_date,delivery_status
00006eb1-40ed-4507-aced-fe55e2945adf,Ashley Hurley,bwolfe@ramirez.com,nan,34c9f041-a024-4af8-9e38-be56897c2f3e,310.25,nan,Subscription,d507adf2-859c-43d0-af48-3a8d0a6bd314,UPS,2022-01-08,Pending
0004647f-59e6-49c3-876e-99932eb7fdd9,Scott Lucas,clifford39@gmail.com,2021-08-05,64324057-9994-4724-91c6-534b424ab024,209.69,nan,In-Store,92f08614-a1f4-483a-af07-ee14e4321783,DHL,nan,Pending
0015cf11-5342-479c-b54b-a10ec660ad83,Mark Phillips,knightsamantha@hotmail.com,2023-09-06,d5fcf1f7-19d2-4a92-a945-c8afd9a74a63,656.2,nan,In-Store,167ffb85-272b-4b54-aa71-0b9d1ab5ad9e,DHL,nan,Pending
0017c24c-a0de-40f4-8e67-4823949a9203,Emily Bryan,eprice@hotmail.com,nan,8bbe81c2-f983-4d12-baa5-2736b8e00daf,456.2,nan,Subscription,b51c3bf8-88d4-49c9-b961-016175f8591d,DHL,2022-05-04,Delivered
001d07e8-de4a-4fe9-9964-062bdea42833,Jerry Dixon,udavis@snyder.info,nan,88330ba7-02b7-496e-9d3f-58b18459581b,242.4,nan,Online,31741f43-d20a-4eea-ab91-69fe38243251,UPS,nan,Delivered
00200974-3413-476c-89a9-8c996270605b,Timothy Lambert,carolinejackson@castillo.info,nan,29893e2b-334b-435b-a23f-dacc4d1d1b44,171.6,nan,Subscription,17a1a1a6-ebf5-438b-b1d2-505a9c8213ff,DHL,nan,Delivered
0020ef95-5672-4373-a77d-91b2574f48cf,Jason Carey,michaelsanchez@gmail.com,nan,72862cdd-3627-4421-b148-99fa83bbb968,599.84,nan,Online,23d47b9d-36bd-49a3-bbe5-23f2b00c946a,DHL,nan,Delivered
002e83f2-c8af-4e03-9971-4578d743a359,Bruce Lam,twatts@randall-silva.com,nan,f4922f4f-5160-4527-92de-01b6f990a761,514.74,nan,Subscription,2e28f6c7-531b-49ae-bda1-0376889e2f98,DHL,2023-03-11,Pending
003d81cb-4d8b-4577-9312-726128e7b7ca,Timothy Martin,shawn20@escobar.org,nan,cb674f5c-1454-4d1c-8428-91d957c040d0,691.6,nan,Online,470ea542-09da-45a5-9599-91bf63902be5,DHL,nan,In Transit
003effec-d6f0-4289-a832-a6dca3d9ffc3,Taylor Bailey,rthompson@clements-malone.com,nan,62dd1c79-b31b-4dcb-a569-058252b9e346,404.4,nan,Subscription,5b2a5a62-02f2-4455-925e-35a9574c032d,UPS,nan,Lost
0043b7a2-654c-410c-bc05-a20364b49f77,Robin Anderson,glenncraig@hotmail.com,2022-06-08,47717b5e-ec55-4160-9fa5-8c9d402dfc91,434.34,nan,Subscription,de1c070e-42d8-4b35-92b5-2af08a4163db,DHL,nan,Lost
0043ee2d-a671-4ea2-a14d-225a6df8dcf5,Julie Hawkins,mitchelljacob@yahoo.com,2022-11-08,7bd8f416-f1fb-4d7a-a5e6-ea00ad6c9eec,577.9,nan,Online,a53f42d9-6a51-477e-8f56-c06a0a4d6b8e,UPS,nan,Delivered
0044c8a4-5588-4f43-b0a9-0450657ebc5d,Tracy Humphrey,mahoneyaaron@garcia.com,nan,c2ec7911-07da-45c2-bb18-c1436c3cfef4,427.3,nan,Online,9b0aea80-1f2b-4ab3-9bf8-d5fec87393ef,UPS,nan,Pending
00453938-7ff0-4f29-9b97-5099edbb374b,Alyssa Collins,sgraham@hotmail.com,2022-08-09,0a19a8df-1f36-4967-9c43-ee2ac5d6cd5d,581.2,nan,Subscription,eeed727b-ccda-48a1-ba85-aeab0846f96e,DHL,nan,Pending
004d2706-d112-446e-bbe8-8a90d35e6007,Tamara Edwards,michaelcampbell@camacho-stewart.com,nan,78ae5160-a624-4eba-b1aa-02c4097af47c,30.8,nan,Subscription,c41ce664-7088-4766-b44e-0d5c2ea11012,UPS,nan,Delivered
0063305d-c7fa-43fe-80c4-6e5cfbcbb69d,Thomas Armstrong,dawnstein@huff.net,nan,f6b1d447-1b89-414e-b5f3-302a0ca35054,180.61,nan,Online,0acb4662-7ad5-44e9-81cb-7ac59369336b,UPS,nan,Pending
00646860-0326-4719-8d8a-1fdf3041dbb4,David Patton,nicole11@gmail.com,nan,1d201367-3d18-43a7-896e-3c739d3812e0,72.68,nan,Subscription,f5eddfbb-1d57-4b1b-aa76-8abef91386fa,UPS,nan,Pending
006b6f02-684b-4c13-9b42-4549430c9c1e,John Rivera,marissahoward@gmail.com,nan,631ba543-f7ab-447b-9fda-25fffbc8867a,889.1,nan,In-Store,f5c9a536-b12b-4616-9003-1e814b204298,DHL,nan,Lost
00736948-0d6a-409c-afe4-da545eae508b,Charles Campbell,bryan25@gmail.com,nan,ab9066da-bb20-46d2-be30-fa07bd732c8d,964.5,nan,In-Store,066c1000-5e11-4801-a746-62d4a6cb690e,UPS,nan,Lost
00846e39-2198-465f-ad21-37a7f703b32c,Marilyn Webster,brandonsalazar@turner.org,nan,21aedda6-475b-4c15-a646-bff50c247cf3,408.7,nan,Subscription,71b0024b-d810-4d50-a179-9c7e2a601d79,DHL,nan,In Transit
0086f87d-b627-437b-9f85-96e4d02c1608,Joseph Smith,hubbardjason@mcdowell-hardy.com,2023-02-06,e8e645ab-df1e-4914-8f72-927a6b38c72c,609.9,nan,Online,cec2fbd1-6a71-47ef-8ae4-b38c70065d19,FEDEX,2024-07-03,In Transit
008a3d38-2aa8-4e12-b2d7-7f34375035f9,Lauren Alvarado,tduran@barker-glass.com,nan,85428898-b91d-47f5-9d63-304905feadc1,583.48,nan,In-Store,7db04cd6-9a85-41bc-9823-31dbd97730ca,UPS,nan,Pending
008eaa4b-7948-4bd1-88a1-4b2e59646a63,Anthony Page,kingcharles@gmail.com,nan,76e9671a-a97d-4525-b120-df39c8d41a8f,67.7,nan,Subscription,43a71c56-7313-40b5-91f9-0c92d844687f,UPS,nan,In Transit
009587c4-f662-49cd-b5e0-263b97036f56,Jessica Holt,rollinsyolanda@stewart-saunders.com,nan,7e3cf3f8-2611-40fb-8e7e-9ba241b9194d,148.76,nan,In-Store,8b3d0ead-1b3b-4e85-ba5d-f917f848d2af,UPS,nan,In Transit
009dd20b-4b2c-45e4-98c5-61a1242aa3a9,Abigail Bailey,ofitzgerald@gmail.com,nan,19baa522-355c-488c-91d2-d45ca19e4328,950.1,nan,Subscription,1f201918-620d-4cae-aab8-fd488f53d55f,DHL,nan,Lost
